Validator Address,Validator Moniker,Commission,Outstanding Rewards,Cumulative Earnings
fxvaloper1qjz9334grynx8lg6ae9vj2fnktgj7u0qvq3szl,Tokyo,47517610143880792311439.365461180750209658,522014220533893815758801.514120302457382860,5.6953183067777460807e+23
fxvaloper1qcpxytptp0rfawxhgtm8z69y65g3g7d247d3wv,ChiangMai,21421804249982110993512.304501066948813230,167484824977648324175072.479894287898180088,1.8890662922763043517e+23
fxvaloper1p2le22wf9mr3h7j9qgseqtvf89ek2z0tmsdhrj,dutchblue,80218924137591882821.422551340535900881,213539672203273598432.137469776241680335,293758596340865481250
fxvaloper1pvv04yexryyxsraalwcephkavtwsadzh5yatru,London,44857088838817079728137.124209620918008546,380936253666443361994585.088647634574037642,4.2579334250526044172e+23
fxvaloper1pcr9h9evn05rpussq9wahmerqjh380mepmshnp,RETIRING SOON wolfpack,9075576913372.827026588071104460,18244469388025798.179911911032562089,18253544964939171.007
fxvaloper1pa4mt67gk67l3ksgwatm56vfjze7y922j2p2q5,🌖🚀Moonbase,896520945863597027443.587229135419155888,349353880454415884227177.034168782056730027,3.5025040140027948125e+23
fxvaloper1zpkvunpdj5896xj0cr47ft3l6xw7d6mu282sj7,blockchainatyonsei,2091727557036060514867.954228837023654503,134104618198358798018900.016729795573128272,1.3619634575539485853e+23
fxvaloper1zn0p7rqp2s702r4aua98gdtlwp6gza904h2dls,LuckyFX,4786316524463434959900.323787899567892556,613979894061908601607075.096678838305135726,6.1876621058637203657e+23
fxvaloper1znc46yl5g39yxt5nc8rls7lqz6f9tpu5m9rux9,Kigali,2076926146693782462.776314754147085522,25460827925046578379.104397143887459962,27537754071740360842
fxvaloper1z67rkadwrp2nf4zwxpktpqnw969plelyjj5alt,🌞🌞 FrenchﾒCore-1 🌞🌞,27868377477006014112.560214767846025720,420936596152514441039422.667337008990881625,4.2096446452999144705e+23
fxvaloper1r4f58l7x5eyn82e36tetc69fd9xf65x5e3k34g,🧙‍♂️ World of FX Wizards 🧙‍♀️,138768831790239904093.905360614974434169,794270265829126626361066.692849549735631218,7.9440903466091686627e+23
fxvaloper1yqz7fm3els5we5cq4h6ug3yywm7sfpl0jm2pxh,Innsbruck,17558424524404933119809.740696726559552854,173038494790715501102843.428655040528435677,1.9059691931512043422e+23
fxvaloper1ycy79ct7anmz5gmck7jann2c3lhwm8ztm5x3ch,SmallFort,13099669537918689352089.023612983713645588,182766499645594771749638.557234751620847983,1.958661691835134611e+23
fxvaloper1yc0v6at49lc9n8rvvcw86rgf2cgc26jy4ckzkj,Madrid,48326306631975273261486.695785074387327801,679608958506194248238300.080503148854770398,7.279352651381695215e+23
fxvaloper19psvqem8jafc5ydg4cnh0t2m04ngw9gfqkeceu,Blindgotchi,11690885278138422738957.354586330508748366,550723274058083031704041.039739929532157004,5.6241415933622145444e+23
fxvaloper19g2087ksund76mv3vt598pd6p563f856wqldkg,FxWorld,3571384082834858910237.498506188434401493,3897471024779420563316.466675194470477208,7.4688551076142794736e+21
fxvaloper19fyfq60lyhv8nlanukfmrg5lp66s8q20vx3jj5,Dapp.com,7093315071131495200963.646329127295449114,226457615202277796143358.586151624950920482,2.3355093027340929134e+23
fxvaloper194wzf8rxucjt3hmesv6ccf5z5s8ss4h2rdrmr0,Asosiasi Blockchain Indonesia,11231962531391534634943.217918472921900003,475932743900960126025429.774085563851456015,4.8716470643235166066e+23
fxvaloper1xrzyg8w0ccm07z80cm5zxkcclfylcujneaxtuy,Istanbul,50302225594798685922445.113994468933216595,227010565819473072818395.542185836983236874,2.7731279141427175874e+23
fxvaloper1x8ur2zlkafrz5p4jn2w8r0lz7twcxd7eqp0hcm,Crypto Kid,0,0,0
fxvaloper1xgwna0zw3mphxlgz8r2f83dh7pgcz2xf2ugqef,polkachu.com,2371975545743488645299.124154039006798850,230615664741782793261504.482147252426824763,2.3298764028752628191e+23
fxvaloper18p4q7fzj76x2s4p3upzkzxvqsyecfz2yx2y4x9,Jakarta,2857020184715971481789.811384501972162449,24095997719953788455370.147327128493184628,2.6953017904669759937e+22
fxvaloper18xj9zy4wx96r73kqfqtm95jtpxdrw7uuxht457,Lagos,839946682554957032.555444238074119921,2800109472789857762.153689498295594795,3640056155344814794.7
