Token Contract Address,Name,Symbol,DECIMALS,Locked Supply,Last Queried Timestamp,Block Height,Run Number
0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,32040718.100396192176016164,1706777774,19132536,1
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,46529.346836,1706777775,19132536,1
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,2.5,1706777776,19132536,1
0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,0.0,1706777778,19132536,1
0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,9.525908819222197266,1706777780,19132536,1
0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,0.0,1706777782,19132536,1
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,211.117864566509679068,1706777784,19132536,1
0x4Fabb145d64652a948d72533023f6E7A623C7C53,BUSD,BUSD,18,0.0,1706777786,19132537,1
0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,0.0,1706777787,19132537,1
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,3.416945,1706777789,19132537,1
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,8,0.02735394,1706777791,19132537,1
0x8c15Ef5b4B21951d50E53E4fbdA8298FFAD25057,Function X,FX,18,0.0,1706777793,19132537,1
0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,32040718.100396192176016164,1706777801,19132538,2
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,46529.346836,1706777804,19132538,2
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,2.5,1706777806,19132538,2
0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,0.0,1706777808,19132538,2
0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,9.525908819222197266,1706777810,19132539,2
0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,0.0,1706777812,19132539,2
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,211.117864566509679068,1706777814,19132539,2
0x4Fabb145d64652a948d72533023f6E7A623C7C53,BUSD,BUSD,18,0.0,1706777816,19132539,2
0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,0.0,1706777819,19132539,2
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,3.416945,1706777821,19132539,2
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,8,0.02735394,1706777823,19132540,2
0x8c15Ef5b4B21951d50E53E4fbdA8298FFAD25057,Function X,FX,18,0.0,1706777825,19132540,2
0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,32040718.100396192176016164,1706777832,19132540,3
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,46529.346836,1706777834,19132541,3
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,2.5,1706777836,19132541,3
0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,0.0,1706777839,19132541,3
0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,9.525908819222197266,1706777840,19132541,3
0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,0.0,1706777842,19132541,3
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,211.117864566509679068,1706777843,19132541,3
0x4Fabb145d64652a948d72533023f6E7A623C7C53,BUSD,BUSD,18,0.0,1706777845,19132541,3
0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,0.0,1706777847,19132542,3
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,3.416945,1706777849,19132542,3
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,8,0.02735394,1706777851,19132542,3
0x8c15Ef5b4B21951d50E53E4fbdA8298FFAD25057,Function X,FX,18,0.0,1706777853,19132542,3
0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,32040718.100396192176016164,1706777859,19132543,4
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,46529.346836,1706777860,19132543,4
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,2.5,1706777862,19132543,4
0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,0.0,1706777864,19132543,4
0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,9.525908819222197266,1706777864,19132543,4
0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,0.0,1706777866,19132543,4
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,211.117864566509679068,1706777868,19132543,4
0x4Fabb145d64652a948d72533023f6E7A623C7C53,BUSD,BUSD,18,0.0,1706777870,19132543,4
0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,0.0,1706777872,19132544,4
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,3.416945,1706777874,19132544,4
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,8,0.02735394,1706777876,19132544,4
0x8c15Ef5b4B21951d50E53E4fbdA8298FFAD25057,Function X,FX,18,0.0,1706777878,19132544,4
0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,32040718.100396192176016164,1706777885,19132545,5
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,46529.346836,1706777886,19132545,5
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,2.5,1706777888,19132545,5
0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,0.0,1706777889,19132545,5
0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,9.525908819222197266,1706777890,19132545,5
0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,0.0,1706777892,19132545,5
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,211.117864566509679068,1706777893,19132546,5
0x4Fabb145d64652a948d72533023f6E7A623C7C53,BUSD,BUSD,18,0.0,1706777895,19132546,5
0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,0.0,1706777897,19132546,5
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,3.416945,1706777899,19132546,5
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,8,0.02735394,1706777901,19132546,5
0x8c15Ef5b4B21951d50E53E4fbdA8298FFAD25057,Function X,FX,18,0.0,1706777903,19132546,5
0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,32040718.100396192176016164,1706777911,19132547,6
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,46529.346836,1706777912,19132547,6
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,2.5,1706777914,19132547,6
0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,0.0,1706777915,19132547,6
0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,9.525908819222197266,1706777917,19132548,6
0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,0.0,1706777919,19132548,6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,211.117864566509679068,1706777921,19132548,6
0x4Fabb145d64652a948d72533023f6E7A623C7C53,BUSD,BUSD,18,0.0,1706777922,19132548,6
0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,0.0,1706777923,19132548,6
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,3.416945,1706777925,19132548,6
